@HEAD;file_name;type;looped;slot;volume;frequency;vol_variation;freq_variation;non_blocking;min_dist;max_dist;audible_dist,
npc_shipghost_move1;npc_shipghost_move1.wav;SOUND;0;npc;0.5;;;;;20;1000;50,
npc_shipghost_move2;npc_shipghost_move2.wav;SOUND;0;npc;0.5;;;;;20;1000;50,
mana_fountain01town1;mana_fountain01town1.wav;SOUND;1;npc;0.4;;;;;1;200;20,
mana_fountain01town_click;mana_fountain01town_click.wav;SOUND;0;npc;0.7;;;;;5;200;20,
mana_fountain01town_finish;mana_fountain01town_finish.wav;SOUND;0;npc;0.8;;;;;5;200;20,
hero_paladin_rare_grass;hero_paladin_rare_grass.wav;SOUND;0;player;1;;;;;10;1000;30,
hero_paladin_rare_ground;hero_paladin_rare_ground.wav;SOUND;0;player;1;;;;;10;1000;30,
hero_paladin_rare_sand;hero_paladin_rare_sand.wav;SOUND;0;player;1;;;;;10;1000;30,
hero_paladin_rare_snow;hero_paladin_rare_snow.wav;SOUND;0;player;1;;;;;10;1000;30,
hero_paladin_rare_stone;hero_paladin_rare_stone.wav;SOUND;0;player;1;;;;;10;1000;30,
hero_paladin_rare_wate;hero_paladin_rare_wate.wav;SOUND;0;player;1;;;;;10;1000;30,
hero_paladin_rare_wood;hero_paladin_rare_wood.wav;SOUND;0;player;1;;;;;10;1000;30,
hero_paladin_grass;hero_paladin_grass_array;ARRAY;0;player;0.6;;;;;10;1000;30,
hero_paladin_grass1;hero_paladin_grass1.wav;SOUND;0;player;1;;;;;;;,
hero_paladin_grass2;hero_paladin_grass2.wav;SOUND;0;player;1;;;;;;;,
hero_paladin_grass3;hero_paladin_grass3.wav;SOUND;0;player;1;;;;;;;,
hero_paladin_ground;hero_paladin_ground_array;ARRAY;0;player;0.6;;;;;10;1000;30,
hero_paladin_ground1;hero_paladin_ground1.wav;SOUND;0;player;1;;;;;;;,
hero_paladin_ground2;hero_paladin_ground2.wav;SOUND;0;player;1;;;;;;;,
hero_paladin_ground3;hero_paladin_ground3.wav;SOUND;0;player;1;;;;;;;,
hero_paladin_sand;hero_paladin_sand_array;ARRAY;0;player;0.6;;;;;10;1000;30,
hero_paladin_sand1;hero_paladin_sand1.wav;SOUND;0;player;1;;;;;;;,
hero_paladin_sand2;hero_paladin_sand2.wav;SOUND;0;player;1;;;;;;;,
